inadimplente,util_linhas_inseguras,idade,vezes_passou_de_30_59_dias,razao_debito,salario_mensal,numero_linhas_crdto_aberto,numero_vezes_passou_90_dias,numero_emprestimos_imobiliarios,numero_de_vezes_que_passou_60_89_dias,numero_de_dependentes
0.029806816497236585,0.0258487079999999,62,0,0.081774844,8180.0,3,0,2,0,0.0
0.02998591168865726,0.6670832289999999,55,0,0.153112222,2200.0,3,0,0,0,0.0
0.058587231912618894,0.0070925269999999,44,0,0.1488,7499.0,20,0,1,0,0.0
0.04686335591172025,0.091212944,54,0,0.351635316,5900.0,15,0,1,1,0.0
0.030381701100586803,0.1126797019999999,54,0,0.06595941,2167.0,3,0,0,0,0.0
0.04749602188548294,0.323985404,42,0,0.3521505379999999,10415.0,8,0,2,0,2.0
0.025466447493910725,0.007299854,63,0,0.002288853,4368.0,2,0,0,0,0.0
0.02456381454882416,0.0,76,1,0.261610817,1700.0,4,0,0,0,0.0
0.04895437176007515,0.062279783,55,0,0.406667092,15658.0,14,1,3,0,0.0
0.050205532639682374,0.479899327,41,1,0.209902867,8441.0,6,0,3,0,0.0
0.04300636496415569,0.040262851,49,0,11.41791045,200.0,7,0,2,0,0.0
0.038530984449877764,0.843405402,56,1,0.592719888,6400.0,5,0,2,0,1.0
0.03357503729191213,0.012197533,77,0,859.0,6760.601835664335,17,0,1,0,0.0
0.0255894095836731,0.001346024,66,0,0.0,2150.0,2,0,0,0,1.0
0.043442288157808436,0.964023984,41,0,0.059348837,10749.0,9,1,0,0,0.0
0.061552955238110496,0.594159456,64,1,1.648362507,7083.0,19,0,5,0,0.0
0.03110763725945026,0.193098651,69,0,0.402775101,5188.0,7,0,2,0,0.0
0.034519709054177526,0.142581923,79,0,0.082849252,10500.0,22,0,0,0,0.0
0.049552031730660966,0.8155511120000001,49,1,4081.0,6760.601835664335,5,3,2,1,0.0
0.028419170355903828,0.021974732,73,0,0.278103492,3922.0,8,0,1,0,0.0
0.04191158819749669,0.069206769,51,0,2610.0,6760.601835664335,8,0,3,0,0.0
0.045125881804744375,0.679730033,42,0,1546.0,6760.601835664335,13,0,0,0,0.0
0.028473619252680365,0.03195895,65,0,0.00939812,5000.0,5,0,0,0,2.0
0.02626500089654152,0.1153601019999999,75,0,1477.0,0.0,6,0,1,0,0.0
0.05088485080168514,0.9999999,41,0,1365.0,6760.601835664335,2,5,1,0,0.0
0.040330583428369454,0.463463272,53,0,0.407847082,9939.0,12,0,1,0,0.0
0.032566943023649896,0.385941521,59,0,0.238935821,7930.0,5,0,1,0,2.0
0.03949020797557023,0.210206778,55,0,0.302714363,5562.0,11,0,1,0,0.0
0.04541329575073162,0.025593285,45,0,0.335381522,8950.0,10,0,1,0,2.0
0.03971649807394912,0.031275265,52,0,0.385416667,2975.0,9,0,1,0,0.0
0.03379604223003108,0.021943625,76,0,0.043182727,2500.0,15,0,1,0,0.0
0.04279048282986379,0.017425167,56,0,0.8931593790000001,2835.0,11,0,2,0,0.0
0.06831812327673549,0.001496395,43,4,0.492458005,5833.0,8,1,1,3,0.0
0.045551639706712346,0.525306395,36,0,0.127467105,4863.0,6,0,0,0,3.0
0.05180077485062408,0.186146156,31,0,0.532410244,8160.0,7,0,2,0,0.0
0.030166038843584597,0.196758683,74,0,2835.0,6760.601835664335,8,0,3,0,0.0
0.02932619588458854,0.022846024,67,0,0.075768614,6862.0,7,0,1,0,0.0
0.030304542317701366,0.457100576,63,0,4945.0,6760.601835664335,9,0,1,0,0.0
0.028111589022920814,0.0,62,0,1565.0,6760.601835664335,4,0,1,0,0.0
0.0530945803809853,0.107923781,46,0,0.3430412029999999,7450.0,14,0,2,0,1.0
0.03218849580050511,0.188842147,57,0,1243.0,6760.601835664335,6,0,1,0,0.0
0.027564817259136787,0.071393361,72,0,1221.0,6760.601835664335,8,0,1,0,0.0
0.024282221621702616,0.009057006,69,0,6.0,6760.601835664335,4,0,0,0,0.0
0.028660405863855598,0.1900816619999999,67,0,0.075886843,4453.0,8,0,0,0,0.0
0.033097016934151555,0.713313484,50,0,2104.0,6760.601835664335,4,0,1,0,0.0
